Series ID,Region Name,COUNTYFP,Rate
ALAUTA1URN,"Autauga County, AL",1001,1.6
ALBALD0URN,"Baldwin County, AL",1003,1.6
ALBARB5URN,"Barbour County, AL",1005,3.3
ALBIBB7URN,"Bibb County, AL",1007,1.6
ALBLOU9URN,"Blount County, AL",1009,1.5
ALBULL1URN,"Bullock County, AL",1011,1.6
ALBUTL3URN,"Butler County, AL",1013,2.2
ALCALH5URN,"Calhoun County, AL",1015,1.9
ALCHAM7URN,"Chambers County, AL",1017,1.6
ALCHER9URN,"Cherokee County, AL",1019,2.1
ALCHIL1URN,"Chilton County, AL",1021,1.6
ALCHOC3URN,"Choctaw County, AL",1023,3
ALCLAR5URN,"Clarke County, AL",1025,3.7
ALCLAY7URN,"Clay County, AL",1027,1.7
ALCLEB9URN,"Cleburne County, AL",1029,1.7
ALCOFF1URN,"Coffee County, AL",1031,1.7
ALCOLB0URN,"Colbert County, AL",1033,2
ALCONE5URN,"Conecuh County, AL",1035,2.2
ALCOOS7URN,"Coosa County, AL",1037,1.7
ALCOVI9URN,"Covington County, AL",1039,1.9
ALCREN1URN,"Crenshaw County, AL",1041,1.7
ALCULL0URN,"Cullman County, AL",1043,1.4
ALDALE5URN,"Dale County, AL",1045,1.8
ALDALL0URN,"Dallas County, AL",1047,3.5
ALDEKA7URN,"De Kalb County, AL",1049,1.7
ALELMO1URN,"Elmore County, AL",1051,1.5
ALESCA3URN,"Escambia County, AL",1053,2.2
ALETOW1URN,"Etowah County, AL",1055,1.9
ALFAYE7URN,"Fayette County, AL",1057,1.7
ALFRAN9URN,"Franklin County, AL",1059,2
ALGENE1URN,"Geneva County, AL",1061,1.8
ALGREE3URN,"Greene County, AL",1063,4
ALHALE5URN,"Hale County, AL",1065,2.3
ALHENR7URN,"Henry County, AL",1067,1.8
ALHOUS5URN,"Houston County, AL",1069,1.8
ALJACK7URN,"Jackson County, AL",1071,1.7
ALJEFF5URN,"Jefferson County, AL",1073,1.7
ALLAMA5URN,"Lamar County, AL",1075,1.9
ALLAUD0URN,"Lauderdale County, AL",1077,1.8
ALLAWR9URN,"Lawrence County, AL",1079,1.5
ALLEEC5URN,"Lee County, AL",1081,1.6
ALLIME3URN,"Limestone County, AL",1083,1.5
ALLOWN5URN,"Lowndes County, AL",1085,3.2
ALMACO7URN,"Macon County, AL",1087,2.3
ALMADI9URN,"Madison County, AL",1089,1.4
ALMARE1URN,"Marengo County, AL",1091,2.3
ALMARI3URN,"Marion County, AL",1093,2.1
ALMARS0URN,"Marshall County, AL",1095,1.4
ALMOBI7URN,"Mobile County, AL",1097,2.1
ALMONR9URN,"Monroe County, AL",1099,3
ALMONT1URN,"Montgomery County, AL",1101,2
ALMORG5URN,"Morgan County, AL",1103,1.4
ALPERR5URN,"Perry County, AL",1105,3.4
ALPICK7URN,"Pickens County, AL",1107,2.1
ALPIKE9URN,"Pike County, AL",1109,1.9
ALRAND1URN,"Randolph County, AL",1111,1.7
ALRUSS3URN,"Russell County, AL",1113,1.8
ALSTCL5URN,"St. Clair County, AL",1115,1.5
ALSHEL0URN,"Shelby County, AL",1117,1.3
ALSUMT9URN,"Sumter County, AL",1119,2.5
ALTALL0URN,"Talladega County, AL",1121,1.9
ALTALL3URN,"Tallapoosa County, AL",1123,1.8
ALTUSC2URN,"Tuscaloosa County, AL",1125,1.6
ALWALK5URN,"Walker County, AL",1127,1.9
ALWASH9URN,"Washington County, AL",1129,2.5
ALWILC1URN,"Wilcox County, AL",1131,6
ALWINS3URN,"Winston County, AL",1133,1.9
AKALEU3URN,"Aleutians East Borough, AK",2013,1.8
AKALEU0URN,"Aleutians West Census Area, AK",2016,2.7
AKANCH0URN,"Anchorage Borough/municipality, AK",2020,3.1
AKBETH0URN,"Bethel Census Area, AK",2050,8.7
AKBRIS0URN,"Bristol Bay Borough, AK",2060,4.1
AKDENA8URN,"Denali Borough, AK",2068,8.6
AKDILL0URN,"Dillingham Census Area, AK",2070,5.7
AKFAIR0URN,"Fairbanks North Star Borough, AK",2090,3.5
AKHAIN0URN,"Haines Borough, AK",2100,6.8
LAUCN021050000000003,"Hoonah-Angoon Census Area, AK",2105,5.1
AKJUNE0URN,"Juneau Borough/city, AK",2110,2.5
AKKENA2URN,"Kenai Peninsula Borough, AK",2122,4.5
AKKETC0URN,"Ketchikan Gateway Borough, AK",2130,3.7
AKKODI0URN,"Kodiak Island Borough, AK",2150,3.5
AKLAKE4URN,"Lake and Peninsula Borough, AK",2164,5.9
AKMATA0URN,"Matanuska-Susitna Borough, AK",2170,4.4
AKNOME0URN,"Nome Census Area, AK",2180,6.8
AKNORT5URN,"North Slope Borough, AK",2185,4.6
AKNORT8URN,"Northwest Arctic Borough, AK",2188,9.5
LAUCN021950000000003,"Petersburg Census Area, AK",2195,4.7
LAUCN021980000000003,"Prince of Wales-Hyder Census Area, AK",2198,6.3
AKSITK0URN,"Sitka Borough/city, AK",2220,2.6
LAUCN022300000000003,"Skagway Municipality, AK",2230,5.1
AKSOUT0URN,"Southeast Fairbanks Census Area, AK",2240,4.9
AKVALD1URN,"Valdez-Cordova Census Area, AK",2261,
LAUCN021580000000003,"Kusilvak Census Area, AK",2270,12.8
AKWADE0URN,"Kusilvak Census Area, AK",2270,
LAUCT028638000000003,"Wrangell Borough/City, AK",2275,4.8
AKYAKA2URN,"Yakutat City and Borough, AK",2282,4.9
AKYUKO0URN,"Yukon-Koyukuk Census Area, AK",2290,8.9
AZAPAC0URN,"Apache County, AZ",4001,6.4
AZCOCH0URN,"Cochise County, AZ",4003,4
AZCOCO0URN,"Coconino County, AZ",4005,3.2
AZGILA7URN,"Gila County, AZ",4007,3.8
AZGRAH9URN,"Graham County, AZ",4009,2.9
AZGREE1URN,"Greenlee County, AZ",4011,2.2
AZLAPA2URN,"La Paz County, AZ",4012,4.7
AZMARI3URN,"Maricopa County, AZ",4013,2.9
AZMOHA0URN,"Mohave County, AZ",4015,4
AZNAVA5URN,"Navajo County, AZ",4017,4.8
AZPIMA9URN,"Pima County, AZ",4019,3.2
AZPINA5URN,"Pinal County, AZ",4021,3.5
AZSANT3URN,"Santa Cruz County, AZ",4023,5.7
AZYAVA0URN,"Yavapai County, AZ",4025,3.2
AZYUMA0URN,"Yuma County, AZ",4027,9.2
ARARURN,"Arkansas County, AR",5001,2.1
ARASURN,"Ashley County, AR",5003,4.3
ARBAURN,"Baxter County, AR",5005,2.7
ARBEURN,"Benton County, AR",5007,1.9
ARBOURN,"Boone County, AR",5009,2.4
ARBRURN,"Bradley County, AR",5011,3.8
ARCAURN,"Calhoun County, AR",5013,2.2
ARCRURN,"Carroll County, AR",5015,2.2
ARCHURN,"Chicot County, AR",5017,4.3
ARCLURN,"Clark County, AR",5019,3.2
ARCYURN,"Clay County, AR",5021,3
ARCEURN,"Cleburne County, AR",5023,3.1
ARCVURN,"Cleveland County, AR",5025,2.5
ARCOURN,"Columbia County, AR",5027,3.3
ARCNURN,"Conway County, AR",5029,2.9
ARCIURN,"Craighead County, AR",5031,2
ARCWURN,"Crawford County, AR",5033,2.4
ARCTURN,"Crittenden County, AR",5035,3.1
ARCSURN,"Cross County, AR",5037,2.7
ARDAURN,"Dallas County, AR",5039,3.3
ARDEURN,"Desha County, AR",5041,3.6
ARDRURN,"Drew County, AR",5043,3.3
ARFAURN,"Faulkner County, AR",5045,2.3
ARFRURN,"Franklin County, AR",5047,2.4
ARFUURN,"Fulton County, AR",5049,2.7
ARGAURN,"Garland County, AR",5051,2.8
ARGRURN,"Grant County, AR",5053,2.2
ARGEURN,"Greene County, AR",5055,2.4
ARHEURN,"Hempstead County, AR",5057,2.4
ARHOURN,"Hot Spring County, AR",5059,2.6
ARHWURN,"Howard County, AR",5061,2.7
ARINURN,"Independence County, AR",5063,2.5
ARIZURN,"Izard County, AR",5065,3.6
ARJAURN,"Jackson County, AR",5067,3.8
ARJEURN,"Jefferson County, AR",5069,3.5
ARJOURN,"Johnson County, AR",5071,3
ARLAURN,"Lafayette County, AR",5073,3.5
ARLWURN,"Lawrence County, AR",5075,2.4
ARLEURN,"Lee County, AR",5077,4.1
ARLIURN,"Lincoln County, AR",5079,3.2
ARLTURN,"Little River County, AR",5081,2.5
ARLOURN,"Logan County, AR",5083,2.9
ARLNURN,"Lonoke County, AR",5085,2.1
ARMAURN,"Madison County, AR",5087,2
ARMRURN,"Marion County, AR",5089,2.7
ARMIURN,"Miller County, AR",5091,2.9
ARMSURN,"Mississippi County, AR",5093,3.6
ARMOURN,"Monroe County, AR",5095,3
ARMNURN,"Montgomery County, AR",5097,3.6
ARNEURN,"Nevada County, AR",5099,2.5
ARNWURN,"Newton County, AR",5101,2.4
AROUURN,"Ouachita County, AR",5103,3.1
ARPEURN,"Perry County, AR",5105,2.6
ARPHURN,"Phillips County, AR",5107,4.9
ARPIURN,"Pike County, AR",5109,2.7
ARPOURN,"Poinsett County, AR",5111,2.4
ARPLURN,"Polk County, AR",5113,2.6
ARPPURN,"Pope County, AR",5115,2.8
ARPRURN,"Prairie County, AR",5117,2.2
ARPUURN,"Pulaski County, AR",5119,2.4
ARRAURN,"Randolph County, AR",5121,2.5
ARSTURN,"St. Francis County, AR",5123,3.6
ARSAURN,"Saline County, AR",5125,2.2
ARSCURN,"Scott County, AR",5127,2.2
ARSEURN,"Searcy County, AR",5129,3.3
ARSBURN,"Sebastian County, AR",5131,2.4
ARSVURN,"Sevier County, AR",5133,2.9
ARSHURN,"Sharp County, AR",5135,3
ARSOURN,"Stone County, AR",5137,3.1
ARUNURN,"Union County, AR",5139,3.5
ARVAURN,"Van Buren County, AR",5141,3.1
ARWAURN,"Washington County, AR",5143,1.7
ARWHURN,"White County, AR",5145,2.6
ARWOURN,"Woodruff County, AR",5147,2.8
ARYEURN,"Yell County, AR",5149,2.8
CAALAM1URN,"Alameda County, CA",6001,3.4
CAALPI3URN,"Alpine County, CA",6003,6
CAAMAD5URN,"Amador County, CA",6005,4.9
CABUTT5URN,"Butte County, CA",6007,4.9
CACALA9URN,"Calaveras County, CA",6009,3.9
CACOLU1URN,"Colusa County, CA",6011,14.8
CACONT3URN,"Contra Costa County, CA",6013,3.6
CADELN5URN,"Del Norte County, CA",6015,5.3
CAELDO5URN,"El Dorado County, CA",6017,3.6
CAFRES9URN,"Fresno County, CA",6019,7.4
CAGLEN1URN,"Glenn County, CA",6021,6.2
CAHUMB0URN,"Humboldt County, CA",6023,4.2
CAIMPE5URN,"Imperial County, CA",6025,14.1
CAINYO7URN,"Inyo County, CA",6027,3.5
CAKERN0URN,"Kern County, CA",6029,8.3
CAKING3URN,"Kings County, CA",6031,8.3
CALAKE3URN,"Lake County, CA",6033,5.4
CALASS5URN,"Lassen County, CA",6035,5.1
CALOSA7URN,"Los Angeles County, CA",6037,4.5
CAMADE0URN,"Madera County, CA",6039,7.4
CAMARI5URN,"Marin County, CA",6041,2.8
CAMARI3URN,"Mariposa County, CA",6043,5.1
CAMEND5URN,"Mendocino County, CA",6045,4.6
CAMERC0URN,"Merced County, CA",6047,9.7
CAMODO9URN,"Modoc County, CA",6049,6.8
CAMONO1URN,"Mono County, CA",6051,3.6
CAMONT2URN,"Monterey County, CA",6053,7.3
CANAPA0URN,"Napa County, CA",6055,3.2
CANEVA0URN,"Nevada County, CA",6057,3.7
CAORAN7URN,"Orange County, CA",6059,3
CAPLAC0URN,"Placer County, CA",6061,3.3
CAPLUM3URN,"Plumas County, CA",6063,8.7
CARIVE5URN,"Riverside County, CA",6065,4.1
CASACR5URN,"Sacramento County, CA",6067,3.9
CASANB9URN,"San Benito County, CA",6069,5.8
CASANB1URN,"San Bernardino County, CA",6071,4.1
CASAND5URN,"San Diego County, CA",6073,3.3
CASANF0URN,"San Francisco County/city, CA",6075,2.7
CASANJ8URN,"San Joaquin County, CA",6077,5.8
CASANL9URN,"San Luis Obispo County, CA",6079,3
CASANM0URN,"San Mateo County, CA",6081,2.5
CASANT1URN,"Santa Barbara County, CA",6083,3.7
CASANT5URN,"Santa Clara County, CA",6085,2.9
CASANT3URN,"Santa Cruz County, CA",6087,6
CASHAS5URN,"Shasta County, CA",6089,5
CASIER1URN,"Sierra County, CA",6091,5.8
CASISK3URN,"Siskiyou County, CA",6093,6.3
CASOLA5URN,"Solano County, CA",6095,4.2
CASONO6URN,"Sonoma County, CA",6097,3.2
CASTAN7URN,"Stanislaus County, CA",6099,6.2
CASUTT0URN,"Sutter County, CA",6101,8.1
CATEHA3URN,"Tehama County, CA",6103,5.8
CATRIN5URN,"Trinity County, CA",6105,6
CATULA1URN,"Tulare County, CA",6107,9.7
CATUOL9URN,"Tuolumne County, CA",6109,4.9
CAVENT2URN,"Ventura County, CA",6111,3.6
CAYOLO3URN,"Yolo County, CA",6113,4.3
CAYUBA5URN,"Yuba County, CA",6115,6.4
COADAM1URN,"Adams County, CO",8001,2.7
COALAM3URN,"Alamosa County, CO",8003,2.4
COARAP0URN,"Arapahoe County, CO",8005,2.4
COARCH7URN,"Archuleta County, CO",8007,2.6
COBACA9URN,"Baca County, CO",8009,1.5
COBENT1URN,"Bent County, CO",8011,2.5
COBOUL3URN,"Boulder County, CO",8013,2.1
COCHAF5URN,"Chaffee County, CO",8015,2.3
COCHEY7URN,"Cheyenne County, CO",8017,1.5
COCLEA9URN,"Clear Creek County, CO",8019,2.1
COCONE1URN,"Conejos County, CO",8021,2.3
COCOST3URN,"Costilla County, CO",8023,3.6
COCROW5URN,"Crowley County, CO",8025,3.6
COCUST7URN,"Custer County, CO",8027,2.1
CODELT9URN,"Delta County, CO",8029,3
CODENV5URN,"Denver County, CO",8031,2.6
CODOLO3URN,"Dolores County, CO",8033,2.7
CODOUG5URN,"Douglas County, CO",8035,2.2
COEAGL7URN,"Eagle County, CO",8037,1.9
COELBE9URN,"Elbert County, CO",8039,1.9
COELPA0URN,"El Paso County, CO",8041,2.5
COFREM3URN,"Fremont County, CO",8043,3.9
COGARF5URN,"Garfield County, CO",8045,2.2
COGILP7URN,"Gilpin County, CO",8047,2
COGRAN9URN,"Grand County, CO",8049,2.1
COGUNN1URN,"Gunnison County, CO",8051,2.3
COHINS3URN,"Hinsdale County, CO",8053,1.9
COHUER5URN,"Huerfano County, CO",8055,4.7
COJACK7URN,"Jackson County, CO",8057,1.8
COJEFF9URN,"Jefferson County, CO",8059,2.3
COKIOW1URN,"Kiowa County, CO",8061,1.6
COKITC3URN,"Kit Carson County, CO",8063,1.4
COLAKE5URN,"Lake County, CO",8065,1.7
COLAPL7URN,"La Plata County, CO",8067,2.2
COLARI1URN,"Larimer County, CO",8069,2.1
COLASA1URN,"Las Animas County, CO",8071,3.8
COLINC3URN,"Lincoln County, CO",8073,2.4
COLOGA5URN,"Logan County, CO",8075,2
COMESA5URN,"Mesa County, CO",8077,2.6
COMINE9URN,"Mineral County, CO",8079,1.7
COMOFF1URN,"Moffat County, CO",8081,2.7
COMONT3URN,"Montezuma County, CO",8083,3.2
COMONT5URN,"Montrose County, CO",8085,2.6
COMORG7URN,"Morgan County, CO",8087,2.3
COOTER9URN,"Otero County, CO",8089,3.3
COOURA1URN,"Ouray County, CO",8091,2.9
COPARK3URN,"Park County, CO",8093,2.3
COPHIL5URN,"Phillips County, CO",8095,1.4
COPITK7URN,"Pitkin County, CO",8097,2.5
COPROW9URN,"Prowers County, CO",8099,2.1
COPUEB2URN,"Pueblo County, CO",8101,3.5
CORIOB3URN,"Rio Blanco County, CO",8103,2.3
CORIOG5URN,"Rio Grande County, CO",8105,2.8
COROUT7URN,"Routt County, CO",8107,2
COSAGU9URN,"Saguache County, CO",8109,2.5
COSANJ1URN,"San Juan County, CO",8111,2.6
COSANM3URN,"San Miguel County, CO",8113,5.1
COSEDG5URN,"Sedgwick County, CO",8115,2.6
COSUMM7URN,"Summit County, CO",8117,1.6
COTELL9URN,"Teller County, CO",8119,2.4
COWASH1URN,"Washington County, CO",8121,1.5
COWELD3URN,"Weld County, CO",8123,2.5
COYUMA5URN,"Yuma County, CO",8125,1.4
