STATEFP,COUNTYFP,NAME,STUSPS,full_name,count
21,7,Ballard,KY,Ballard County KY,0
21,17,Bourbon,KY,Bourbon County KY,5
21,31,Butler,KY,Butler County KY,0
21,65,Estill,KY,Estill County KY,3
21,69,Fleming,KY,Fleming County KY,3
21,93,Hardin,KY,Hardin County KY,5
21,99,Hart,KY,Hart County KY,1
21,131,Leslie,KY,Leslie County KY,1
21,151,Madison,KY,Madison County KY,6
21,155,Marion,KY,Marion County KY,0
21,179,Nelson,KY,Nelson County KY,5
17,91,Kankakee,IL,Kankakee County IL,19
17,187,Warren,IL,Warren County IL,6
17,197,Will,IL,Will County IL,28
18,27,Daviess,IN,Daviess County IN,1
18,61,Harrison,IN,Harrison County IN,9
1,1,Autauga,AL,Autauga County AL,4
1,5,Barbour,AL,Barbour County AL,4
1,23,Choctaw,AL,Choctaw County AL,2
1,35,Conecuh,AL,Conecuh County AL,2
1,51,Elmore,AL,Elmore County AL,5
1,55,Etowah,AL,Etowah County AL,4
1,65,Hale,AL,Hale County AL,4
1,89,Madison,AL,Madison County AL,17
1,113,Russell,AL,Russell County AL,7
1,117,Shelby,AL,Shelby County AL,11
2,16,Aleutians West,AK,Aleutians West Borough AK,19
2,130,Ketchikan Gateway,AK,Ketchikan Gateway Borough AK,9
2,180,Nome,AK,Nome Borough AK,35
2,282,Yakutat,AK,Yakutat Borough AK,14
5,11,Bradley,AR,Bradley County AR,2
5,15,Carroll,AR,Carroll County AR,14
5,19,Clark,AR,Clark County AR,3
5,25,Cleveland,AR,Cleveland County AR,0
5,63,Independence,AR,Independence County AR,8
5,67,Jackson,AR,Jackson County AR,22
5,121,Randolph,AR,Randolph County AR,2
6,1,Alameda,CA,Alameda County CA,37
6,3,Alpine,CA,Alpine County CA,3
6,5,Amador,CA,Amador County CA,9
6,13,Contra Costa,CA,Contra Costa County CA,25
6,19,Fresno,CA,Fresno County CA,83
6,23,Humboldt,CA,Humboldt County CA,19
6,33,Lake,CA,Lake County CA,15
6,37,Los Angeles,CA,Los Angeles County CA,525
6,47,Merced,CA,Merced County CA,28
6,57,Nevada,CA,Nevada County CA,12
6,81,San Mateo,CA,San Mateo County CA,12
6,85,Santa Clara,CA,Santa Clara County CA,29
6,115,Yuba,CA,Yuba County CA,9
8,13,Boulder,CO,Boulder County CO,18
8,29,Delta,CO,Delta County CO,25
8,49,Grand,CO,Grand County CO,7
8,77,Mesa,CO,Mesa County CO,17
8,83,Montezuma,CO,Montezuma County CO,5
8,91,Ouray,CO,Ouray County CO,2
9,9,New Haven,CT,New Haven County CT,25
11,1,District of Columbia,DC,District of Columbia County DC,19
12,9,Brevard,FL,Brevard County FL,29
12,23,Columbia,FL,Columbia County FL,13
12,39,Gadsden,FL,Gadsden County FL,9
12,55,Highlands,FL,Highlands County FL,17
12,65,Jefferson,FL,Jefferson County FL,5
12,73,Leon,FL,Leon County FL,9
12,95,Orange,FL,Orange County FL,65
12,107,Putnam,FL,Putnam County FL,16
12,123,Taylor,FL,Taylor County FL,8
12,127,Volusia,FL,Volusia County FL,28
12,131,Walton,FL,Walton County FL,18
12,133,Washington,FL,Washington County FL,9
13,9,Baldwin,GA,Baldwin County GA,3
13,27,Brooks,GA,Brooks County GA,3
13,103,Effingham,GA,Effingham County GA,5
13,121,Fulton,GA,Fulton County GA,29
13,141,Hancock,GA,Hancock County GA,1
13,149,Heard,GA,Heard County GA,4
13,179,Liberty,GA,Liberty County GA,10
13,183,Long,GA,Long County GA,1
13,189,McDuffie,GA,McDuffie County GA,1
13,209,Montgomery,GA,Montgomery County GA,0
13,229,Pierce,GA,Pierce County GA,1
13,267,Tattnall,GA,Tattnall County GA,3
13,271,Telfair,GA,Telfair County GA,0
13,291,Union,GA,Union County GA,3
13,305,Wayne,GA,Wayne County GA,2
13,319,Wilkinson,GA,Wilkinson County GA,0
15,7,Kauai,HI,Kauai County HI,13
16,15,Boise,ID,Boise County ID,11
16,23,Butte,ID,Butte County ID,5
16,25,Camas,ID,Camas County ID,8
16,27,Canyon,ID,Canyon County ID,16
16,37,Custer,ID,Custer County ID,17
16,39,Elmore,ID,Elmore County ID,19
16,43,Fremont,ID,Fremont County ID,3
16,61,Lewis,ID,Lewis County ID,3
16,63,Lincoln,ID,Lincoln County ID,7
16,85,Valley,ID,Valley County ID,44
19,175,Union,IA,Union County IA,5
20,53,Ellsworth,KS,Ellsworth County KS,4
20,95,Kingman,KS,Kingman County KS,4
20,135,Ness,KS,Ness County KS,1
20,199,Wallace,KS,Wallace County KS,3
48,11,Armstrong,TX,Armstrong County TX,4
48,25,Bee,TX,Bee County TX,5
48,35,Bosque,TX,Bosque County TX,19
48,53,Burnet,TX,Burnet County TX,37
48,55,Caldwell,TX,Caldwell County TX,10
48,83,Coleman,TX,Coleman County TX,6
29,57,Dade,MO,Dade County MO,5
29,143,New Madrid,MO,New Madrid County MO,8
29,157,Perry,MO,Perry County MO,3
29,189,St. Louis,MO,St. Louis County MO,19
29,199,Scotland,MO,Scotland County MO,4
29,207,Stoddard,MO,Stoddard County MO,8
30,15,Chouteau,MT,Chouteau County MT,7
30,23,Deer Lodge,MT,Deer Lodge County MT,2
30,29,Flathead,MT,Flathead County MT,42
30,39,Granite,MT,Granite County MT,7
30,57,Madison,MT,Madison County MT,10
30,71,Phillips,MT,Phillips County MT,5
30,77,Powell,MT,Powell County MT,7
30,85,Roosevelt,MT,Roosevelt County MT,6
30,87,Rosebud,MT,Rosebud County MT,3
30,105,Valley,MT,Valley County MT,13
31,91,Hooker,NE,Hooker County NE,2
53,65,Stevens,WA,Stevens County WA,22
21,189,Owsley,KY,Owsley County KY,0
21,195,Pike,KY,Pike County KY,5
21,217,Taylor,KY,Taylor County KY,3
21,237,Wolfe,KY,Wolfe County KY,0
