STATEFP,STATENS,STUSPS,RegionName,count
28,1779790,MS,Mississippi,343
37,1027616,NC,North Carolina,576
40,1102857,OK,Oklahoma,676
51,1779803,VA,Virginia,565
54,1779805,WV,West Virginia,144
22,1629543,LA,Louisiana,819
26,1779789,MI,Michigan,645
25,606926,MA,Massachusetts,271
16,1779783,ID,Idaho,433
12,294478,FL,Florida,1213
31,1779792,NE,Nebraska,338
53,1779804,WA,Washington,703
35,897535,NM,New Mexico,439
72,1779808,PR,Puerto Rico,
46,1785534,SD,South Dakota,230
48,1779801,TX,Texas,3644
6,1779778,CA,California,2290
1,1779775,AL,Alabama,463
13,1705317,GA,Georgia,623
42,1779798,PA,Pennsylvania,1013
29,1779791,MO,Missouri,709
8,1779779,CO,Colorado,617
49,1455989,UT,Utah,407
47,1325873,TN,Tennessee,414
56,1779807,WY,Wyoming,207
36,1779796,NY,New York,767
20,481813,KS,Kansas,525
2,1785533,AK,Alaska,1003
32,1779793,NV,Nevada,392
17,1779784,IL,Illinois,1068
50,1779802,VT,Vermont,115
30,767982,MT,Montana,418
19,1779785,IA,Iowa,400
45,1779799,SC,South Carolina,263
33,1779794,NH,New Hampshire,206
4,1779777,AZ,Arizona,972
11,1702382,DC,District of Columbia,19
60,1802701,AS,American Samoa,
78,1802710,VI,United States Virgin Islands,
34,1779795,NJ,New Jersey,452
24,1714934,MD,Maryland,285
23,1779787,ME,Maine,266
15,1779782,HI,Hawaii,119
10,1779781,DE,Delaware,62
66,1802705,GU,Guam,
69,1779809,MP,Commonwealth of the Northern Mariana Islands,
44,1219835,RI,Rhode Island,39
21,1779786,KY,Kentucky,319
39,1085497,OH,Ohio,907
55,1779806,WI,Wisconsin,665
41,1155107,OR,Oregon,616
38,1779797,ND,North Dakota,335
5,68085,AR,Arkansas,556
18,448508,IN,Indiana,758
27,662849,MN,Minnesota,642
9,1779780,CT,Connecticut,168
