Series ID,RegionName,STATEFP,Rate
ALUR,Alabama,1,2.2
AKUR,Alaska,2,3.7
AZUR,Arizona,4,3.4
ARUR,Arkansas,5,2.8
CAUR,California,6,4.5
COUR,Colorado,8,2.8
CTUR,Connecticut,9,3.8
DEUR,Delaware,10,4.3
DCUR,District of Columbia,11,5
FLUR,Florida,12,2.6
GAUR,Georgia,13,3.1
HIUR,Hawaii,15,3.3
IDUR,Idaho,16,2.6
ILUR,Illinois,17,4.2
INUR,Indiana,18,3
IAUR,Iowa,19,2.7
KSUR,Kansas,20,2.9
KYUR,Kentucky,21,3.7
LAUR,Louisiana,22,3.6
MEUR,Maine,23,2.4
MDUR,Maryland,24,2.5
MAUR,Massachusetts,25,3.3
MIUR,Michigan,26,3.8
MNUR,Minnesota,27,2.8
MSUR,Mississippi,28,3.4
MOUR,Missouri,29,2.5
MTUR,Montana,30,2.3
NEUR,Nebraska,31,2
NVUR,Nevada,32,5.4
NHUR,New Hampshire,33,2.1
NJUR,New Jersey,34,3.5
NMUR,New Mexico,35,3.5
NYUR,New York,36,4
NCUR,North Carolina,37,3.4
NDUR,North Dakota,38,2.1
OHUR,Ohio,39,3.7
OKUR,Oklahoma,40,2.9
ORUR,Oregon,41,4
PAUR,Pennsylvania,42,4.1
RIUR,Rhode Island,44,3
SCUR,South Carolina,45,3.1
SDUR,South Dakota,46,1.9
TNUR,Tennessee,47,3.3
TXUR,Texas,48,4
UTUR,Utah,49,2.3
VTUR,Vermont,50,2.4
VAUR,Virginia,51,3.1
WAUR,Washington,53,4.3
WVUR,West Virginia,54,3.3
WIUR,Wisconsin,55,2.4
WYUR,Wyoming,56,3.5
